t,imu_rate,imu_delay,imu_jitter,imu_acc_norm_mean,odom_rate,odom_delay,odom_jitter
1758609239.503,204.008,0.0000,0.0099,0.996,0.000,0.0000,0.0000
1758609240.503,202.006,0.0000,0.0100,0.993,10.000,0.0278,0.0125
1758609241.503,201.339,0.0000,0.0100,0.990,10.000,0.0214,0.0144
1758609242.503,201.006,0.0000,0.0100,0.992,9.915,0.0202,0.0141
1758609243.503,200.806,0.0000,0.0100,0.992,10.000,0.0177,0.0141
1758609244.503,201.006,0.0000,0.0100,0.992,10.000,0.0158,0.0125
1758609245.503,201.006,0.0000,0.0100,0.990,10.000,0.0127,0.0124
1758609246.503,201.006,0.0000,0.0100,0.990,10.000,0.0117,0.0113
1758609247.503,200.806,0.0000,0.0100,0.990,10.051,0.0117,0.0129
1758609248.503,200.807,0.0000,0.0100,0.990,10.000,0.0107,0.0113
1758609249.503,200.806,0.0000,0.0100,0.990,10.000,0.0111,0.0124
1758609250.503,200.807,0.0000,0.0100,0.990,10.000,0.0101,0.0113
1758609251.503,200.807,0.0000,0.0100,1.019,10.000,0.0142,0.0102
1758609252.503,200.807,0.0000,0.0100,0.993,10.000,0.0165,0.0071
1758609253.503,200.808,0.0000,0.0100,0.977,10.000,0.0165,0.0071
1758609254.503,200.806,0.0000,0.0100,0.977,9.949,0.0182,0.0095
1758609255.503,201.007,0.0000,0.0100,1.013,9.950,0.0222,0.0120
1758609256.502,201.006,0.0000,0.0100,1.000,10.051,0.0209,0.0138
1758609257.502,201.007,0.0000,0.0100,0.989,9.950,0.0186,0.0149
1758609258.502,201.005,0.0000,0.0100,0.980,9.949,0.0236,0.0149
1758609259.502,201.008,0.0000,0.0100,0.994,10.051,0.0261,0.0129
1758609260.502,201.007,0.0000,0.0100,1.004,10.000,0.0261,0.0124
1758609261.502,201.007,0.0000,0.0100,0.984,10.000,0.0260,0.0124
1758609262.502,201.006,0.0000,0.0100,0.984,10.000,0.0284,0.0124
1758609263.502,200.806,0.0000,0.0100,0.985,10.000,0.0297,0.0152
1758609264.502,200.806,0.0000,0.0100,1.001,9.899,0.0327,0.0169
1758609265.502,200.806,0.0000,0.0100,0.998,9.950,0.0382,0.0173
1758609266.502,200.806,0.0000,0.0100,0.999,10.000,0.0420,0.0175
1758609267.502,200.807,0.0000,0.0100,1.000,9.899,0.0492,0.0176
1758609268.502,200.806,0.0000,0.0100,0.998,10.000,0.0532,0.0169
1758609269.502,200.807,0.0000,0.0100,1.002,10.000,0.0572,0.0196
1758609270.502,200.807,0.0000,0.0100,0.999,9.950,0.0606,0.0201
1758609271.502,201.006,0.0000,0.0100,1.002,9.950,0.0641,0.0201
1758609272.502,201.007,0.0000,0.0100,0.998,10.051,0.0659,0.0223
1758609273.502,201.007,0.0000,0.0100,0.998,9.950,0.0706,0.0213
1758609274.502,201.006,0.0000,0.0100,0.981,10.000,0.0756,0.0184
1758609275.502,200.806,0.0000,0.0100,0.987,10.000,0.0776,0.0175
1758609276.502,200.807,0.0000,0.0100,0.997,10.051,0.0796,0.0164
1758609277.502,200.807,0.0000,0.0100,1.004,10.000,0.0779,0.0160
1758609278.502,200.807,0.0000,0.0100,0.992,10.101,0.0764,0.0175
